label,trades,win_rate,pf_r,pnl_pct,profit_r,points,pnl_usd,gross_win_usd,gross_loss_usd,avg_win_pts,avg_loss_pts,payoff
"tp=0.90 sl=1.10 min_add=-25 max=1.10 cutoff=30m",163,68.10,0.89,-6.10,-5.93,-104.63,-1046.30,6973.31,8019.69,6.2823,15.4225,0.4073
"tp=0.90 sl=1 min_add=0 max=0.90 cutoff=30m",155,65.81,0.89,-6.19,-6.02,-53.50,-535.00,6953.06,7488.12,6.8167,14.1285,0.4825
"tp=0.90 sl=1 min_add=25 max=0.90 cutoff=30m",155,65.81,0.89,-6.19,-6.02,-53.50,-535.00,6953.06,7488.12,6.8167,14.1285,0.4825
"tp=1 sl=1 min_add=0 max=0.90 cutoff=-30m",127,62.99,0.87,-6.33,-6.20,-87.12,-871.20,6060.62,6931.88,7.5758,14.7487,0.5137
"tp=1 sl=1 min_add=25 max=0.90 cutoff=-30m",127,62.99,0.87,-6.33,-6.20,-87.12,-871.20,6060.62,6931.88,7.5758,14.7487,0.5137
"tp=0.90 sl=1 min_add=0 max=0.90 cutoff=0m",145,65.52,0.87,-6.48,-6.35,-69.29,-692.90,6405.19,7098.12,6.7423,14.1962,0.4749
"tp=0.90 sl=1 min_add=25 max=0.90 cutoff=0m",145,65.52,0.87,-6.48,-6.35,-69.29,-692.90,6405.19,7098.12,6.7423,14.1962,0.4749
"tp=1 sl=1 min_add=-25 max=1 cutoff=-30m",144,63.19,0.88,-6.65,-6.50,-80.50,-805.00,7153.12,7958.12,7.8606,15.0153,0.5235
"tp=1 sl=1 min_add=-25 max=1.10 cutoff=30m",180,63.89,0.90,-6.86,-6.63,-68.75,-687.50,8836.88,9524.38,7.6842,14.6529,0.5244
"tp=1.10 sl=0.90 min_add=-25 max=1.10 cutoff=0m",188,59.57,0.91,-7.10,-6.77,-93.72,-937.20,10092.25,11029.50,9.0109,14.5125,0.6209
"tp=0.90 sl=1 min_add=-25 max=1 cutoff=0m",163,65.64,0.88,-6.99,-6.86,-66.50,-665.00,7459.31,8124.38,6.9713,14.5078,0.4805
"tp=1 sl=1 min_add=0 max=1.10 cutoff=-30m",149,63.09,0.87,-7.13,-7.00,-92.00,-920.00,7379.38,8299.38,7.8504,15.0898,0.5202
"tp=1 sl=1 min_add=25 max=1.10 cutoff=-30m",149,63.09,0.87,-7.13,-7.00,-92.00,-920.00,7379.38,8299.38,7.8504,15.0898,0.5202
"tp=0.90 sl=1 min_add=-25 max=0.90 cutoff=30m",156,65.38,0.87,-7.13,-7.02,-76.00,-760.00,6953.06,7713.12,6.8167,14.2836,0.4772
"tp=1 sl=1 min_add=-25 max=0.90 cutoff=-30m",128,62.50,0.85,-7.26,-7.20,-109.62,-1096.20,6060.62,7156.88,7.5758,14.9102,0.5081
"tp=0.90 sl=1 min_add=-25 max=0.90 cutoff=0m",146,65.07,0.86,-7.41,-7.35,-91.79,-917.90,6405.19,7323.12,6.7423,14.3591,0.4696
"tp=0.90 sl=1 min_add=0 max=1.10 cutoff=0m",168,65.48,0.87,-7.61,-7.51,-80.26,-802.60,7662.94,8465.62,6.9663,14.5959,0.4773
"tp=0.90 sl=1 min_add=25 max=1.10 cutoff=0m",168,65.48,0.87,-7.61,-7.51,-80.26,-802.60,7662.94,8465.62,6.9663,14.5959,0.4773
"tp=0.90 sl=1 min_add=0 max=1 cutoff=30m",174,65.52,0.87,-7.64,-7.53,-51.21,-512.10,8007.19,8519.38,7.0238,14.1990,0.4947
"tp=0.90 sl=1 min_add=25 max=1 cutoff=30m",174,65.52,0.87,-7.64,-7.53,-51.21,-512.10,8007.19,8519.38,7.0238,14.1990,0.4947
"tp=1.10 sl=0.90 min_add=0 max=0.90 cutoff=0m",162,58.64,0.88,-8.09,-7.91,-125.27,-1252.70,8343.50,9596.25,8.7826,14.3228,0.6132
"tp=1.10 sl=0.90 min_add=25 max=0.90 cutoff=0m",162,58.64,0.88,-8.09,-7.91,-125.27,-1252.70,8343.50,9596.25,8.7826,14.3228,0.6132
"tp=1 sl=1 min_add=-25 max=1.10 cutoff=-30m",150,62.67,0.86,-8.06,-8.00,-114.50,-1145.00,7379.38,8524.38,7.8504,15.2221,0.5157
