label,timeframe,trades,win_rate,max_dd_pct,gross_balance,net_balance,gross_pf,net_pf,total_costs
mode=reversal_daily|entry=close|rr=1|trail=be_1r|slip=0,15m,433,48.26,3376.25,842.26,-31319.90,0.92,0.20,36331.44
mode=reversal_daily|entry=close|rr=1|trail=be_1r|slip=1,15m,433,48.26,3376.94,841.94,-31325.60,0.92,0.20,36340.10
mode=reversal_daily|entry=close|rr=1|trail=be_1r|slip=2,15m,433,48.26,3377.77,841.72,-31332.60,0.92,0.20,36348.76
mode=reversal_daily|entry=close|rr=1|trail=be_1r|slip=3,15m,433,48.26,3378.60,841.51,-31339.61,0.92,0.20,36357.42
mode=reversal_daily|entry=close|rr=1.5|trail=none|slip=0,15m,427,41.92,3506.52,1188.36,-32928.21,1.06,0.23,35818.50
mode=reversal_daily|entry=close|rr=1.5|trail=none|slip=1,15m,427,41.92,3507.34,1187.97,-32935.13,1.06,0.23,35827.04
mode=reversal_daily|entry=close|rr=1.5|trail=none|slip=2,15m,427,41.92,3508.29,1187.72,-32943.22,1.06,0.23,35835.58
mode=reversal_daily|entry=close|rr=1.5|trail=none|slip=3,15m,427,41.92,3509.23,1187.46,-32951.30,1.06,0.23,35844.13
mode=reversal_daily|entry=close|rr=1.5|trail=be_1r|slip=0,15m,433,35.33,3518.55,1027.04,-32356.76,1.01,0.22,36334.65
mode=reversal_daily|entry=close|rr=1.5|trail=be_1r|slip=1,15m,433,35.33,3519.30,1026.76,-32363.58,1.01,0.22,36343.32
mode=reversal_daily|entry=close|rr=1.5|trail=be_1r|slip=2,15m,433,35.33,3520.15,1026.57,-32371.35,1.01,0.22,36351.98
mode=reversal_daily|entry=close|rr=1.5|trail=be_1r|slip=3,15m,433,35.33,3521.01,1026.39,-32379.10,1.01,0.22,36360.64
mode=reversal_daily|entry=close|rr=2|trail=none|slip=0,15m,421,36.34,3788.04,1399.77,-35473.79,1.12,0.27,35234.63
mode=reversal_daily|entry=close|rr=2|trail=none|slip=1,15m,421,36.34,3789.02,1399.41,-35481.79,1.12,0.27,35243.05
mode=reversal_daily|entry=close|rr=2|trail=none|slip=2,15m,421,36.34,3790.12,1399.18,-35490.99,1.12,0.27,35251.47
mode=reversal_daily|entry=close|rr=2|trail=none|slip=3,15m,421,36.34,3791.22,1398.94,-35500.14,1.12,0.27,35259.89
mode=reversal_daily|entry=close|rr=2|trail=be_1r|slip=0,15m,429,28.90,3726.45,1251.51,-34330.68,1.09,0.24,35814.16
mode=reversal_daily|entry=close|rr=2|trail=be_1r|slip=1,15m,429,28.90,3727.32,1251.25,-34338.59,1.09,0.24,35822.74
mode=reversal_daily|entry=close|rr=2|trail=be_1r|slip=2,15m,429,28.90,3728.30,1251.08,-34347.42,1.09,0.24,35831.32
mode=reversal_daily|entry=close|rr=2|trail=be_1r|slip=3,15m,429,28.90,3729.27,1250.92,-34356.17,1.09,0.24,35839.90
mode=reversal_daily|entry=prev_open|rr=1|trail=none|slip=0,15m,349,49.28,2765.69,934.77,-26656.93,0.96,0.09,27926.60
mode=reversal_daily|entry=prev_open|rr=1|trail=none|slip=1,15m,349,49.28,2766.21,934.42,-26662.15,0.96,0.09,27933.58
mode=reversal_daily|entry=prev_open|rr=1|trail=none|slip=2,15m,349,49.28,2766.82,934.16,-26668.26,0.96,0.09,27940.56
mode=reversal_daily|entry=prev_open|rr=1|trail=none|slip=3,15m,349,49.28,2767.44,933.90,-26674.40,0.96,0.09,27947.54
mode=reversal_daily|entry=prev_open|rr=1|trail=be_1r|slip=0,15m,349,49.28,2765.69,934.77,-26656.93,0.96,0.09,27926.60
mode=reversal_daily|entry=prev_open|rr=1|trail=be_1r|slip=1,15m,349,49.28,2766.21,934.42,-26662.15,0.96,0.09,27933.58
mode=reversal_daily|entry=prev_open|rr=1|trail=be_1r|slip=2,15m,349,49.28,2766.82,934.16,-26668.26,0.96,0.09,27940.56
mode=reversal_daily|entry=prev_open|rr=1|trail=be_1r|slip=3,15m,349,49.28,2767.44,933.90,-26674.40,0.96,0.09,27947.54
mode=reversal_daily|entry=prev_open|rr=1.5|trail=none|slip=0,15m,341,43.40,2871.34,1301.86,-27713.41,1.13,0.10,27372.65
mode=reversal_daily|entry=prev_open|rr=1.5|trail=none|slip=1,15m,341,43.40,2871.96,1301.45,-27719.69,1.13,0.10,27379.47
mode=reversal_daily|entry=prev_open|rr=1.5|trail=none|slip=2,15m,341,43.40,2872.67,1301.14,-27726.77,1.13,0.10,27386.29
mode=reversal_daily|entry=prev_open|rr=1.5|trail=none|slip=3,15m,341,43.40,2873.38,1300.84,-27733.85,1.13,0.10,27393.11
mode=reversal_daily|entry=prev_open|rr=1.5|trail=be_1r|slip=0,15m,346,36.41,2878.15,1113.05,-27781.59,1.06,0.10,27693.31
mode=reversal_daily|entry=prev_open|rr=1.5|trail=be_1r|slip=1,15m,346,36.41,2878.77,1112.74,-27787.76,1.06,0.10,27700.23
mode=reversal_daily|entry=prev_open|rr=1.5|trail=be_1r|slip=2,15m,346,36.12,2862.82,1096.07,-27628.29,1.05,0.10,27707.00
mode=reversal_daily|entry=prev_open|rr=1.5|trail=be_1r|slip=3,15m,346,36.12,2863.50,1095.85,-27635.06,1.05,0.10,27713.92
mode=reversal_daily|entry=prev_open|rr=2|trail=none|slip=0,15m,339,39.82,3276.89,1864.67,-31768.98,1.30,0.14,27283.64
mode=reversal_daily|entry=prev_open|rr=2|trail=none|slip=1,15m,339,39.82,3277.70,1864.14,-31777.04,1.30,0.14,27290.42
mode=reversal_daily|entry=prev_open|rr=2|trail=none|slip=2,15m,339,39.82,3278.60,1863.75,-31786.04,1.30,0.14,27297.20
mode=reversal_daily|entry=prev_open|rr=2|trail=none|slip=3,15m,339,39.82,3279.50,1863.35,-31795.02,1.30,0.14,27303.98
mode=reversal_daily|entry=prev_open|rr=2|trail=be_1r|slip=0,15m,345,30.14,3106.09,1350.75,-30060.97,1.17,0.12,27624.42
